CLAVE,DESCRIPCION,EXISTENCIA,PRECIO,PEDIDO
GOOD27565180010,LLANTA 275-65-18 GOODYEAR WRANGLER DURATRAC 123/120Q,6,"$3,900.00",
GOOD27565180013,LLANTA 275-65-18 GOODYEAR WRL TERRITORY MT 113Q LT,11,"$4,050.00",
JKBL27565180013,LLANTA 275-65-18 JK BLAZZE X-AT 123/120S 10PR,7,"$2,900.00",
DURA33125180026,LLANTA 33X12.50-18 DURATURN TRAVIA MT 118Q LT,8,"$2,900.00",
NERE33125180010,LLANTA 33X12.50-18 NEREUS NS523 MT 118Q 10C,1,"$3,160.00",
KUMH35125180013,LLANTA 35X12.50-18 KUMHO AT52,22,"$4,200.00",
NERE351250180091,LLANTA 35X12.50-18 NEREUS NS523 LT M/T 123Q TL,1,"$3,300.00",
OVAT21535190011,LLANTA 215-35-19 OVATION VI-388 85W XL,7,"$1,380.00",
HIFL22535190010,LLANTA 225-35-19 HIFLY HF805 88W,4,"$1,400.00",
OVAT225351940,LLANTA 225-35-19 OVATION VI-388 88W XL,9,"$1,400.00",
OVAT22540190001,LLANTA 225-40-19 OVATION VI-388 93W,1,"$1,350.00",
ECOV22545190010,LLANTA 225-45-19 ECOVISION VI-386HP 96W XL,17,"$1,510.00",
MAXT22545190026,LLANTA 225-45-19 MAXTREK M1 96W,11,"$1,350.00",
ECOV22555190001,LLANTA 225-55-19 ECOVISION VI-386 HP 99V,16,"$1,650.00",
GOOD22555190010,LLANTA 225-55-19 GOODYEAR ASSURANCE MAXLIFE VSB 99V,5,"$3,100.00",
JKTY22555190026,LLANTA 225-55-19 JK ELANZO TOURING 99H,3,"$1,550.00",
KUMH22555190014,LLANTA 225-55-19 KUMHO HP71,40,"$2,570.00",
CONT22570195012,LLANTA 225-70-19.5 CONTINENTAL HSR 5 DIRECCION128/126N 14CP,9,"$6,350.00",
DOUB22570195010,LLANTA 225-70-19.5 DOUBLESTAR DSRS01 16C 128/126M,1,"$1,940.00",
EUDE2257019502297,LLANTA 225-70-19.5 EUDEMON UA130,27,"$2,860.00",
GOOD225701950001,LLANTA 225-70-19.5 GOODRIDE CR960A 14PR,60,"$2,100.00",
HIFL225701950027,LLANTA 225-70-19.5 HIFLY HH111 14PR 128/126,33,"$1,760.00",
JKTR22570195003,LLANTA 225-70-19.5 JK JDL3+ 14PR TL TRACC,1,"$3,570.00",
JKTR22570195004,LLANTA 225-70-19.5 JK JUL4 14PR TL,3,"$3,460.00",
PIRE22570195013,LLANTA 225-70-19.5 PIRELLI R02PFS TL 128/126N,10,"$5,260.00",
GOOD23535190026,LLANTA 235-35-19 GOODYEAR EAGLE F1 SUPERSPORT 91Y,10,"$4,050.00",
235-35-19OVA,LLANTA 235-35-19 OVATION VI-388 91W,10,"$1,500.00",
HIFL23540190010,LLANTA 235-40-19 HIFLY HF805 96W XL,11,"$1,360.00",
OVAT23540190010,LLANTA 235-40-19 OVATION VI-388 96W,14,"$1,500.00",
235-45-19ECO,LLANTA 235-45-19 ECOVISION VI-386HP 99W XL,11,"$1,550.00",
GOOD23555190012,LLANTA 235-55-19 GOODYEAR EFFICIENT GRIP SUV 105V,3,"$3,350.00",
HIFL24535190010,LLANTA 245-35-19 HIFLY HF805 93W,12,"$1,520.00",
OVAT24535190020,LLANTA 245-35-19 OVATION VI-388 93W,1,"$1,700.00",
OVAT24540190010,LLANTA 245-40-19 OVATION VI-388,11,"$1,530.00",
OVAT24545190010,LLANTA 245-45-19 OVATION VI-388 102W XL,9,"$1,580.00",
ECOV24555190010,LLANTA 245-55-19 ECOVISION VI-386HP 103V,31,"$1,820.00",
GOOD24555190026,LLANTA 245-55-19 GOODYEAR EFFICIENTGRIP PERFORMANCE SUV,15,"$3,200.00",
EUDE24570195028,LLANTA 245-70-19.5 EUDEMON UA130,20,"$2,500.00",
EUDE24570195013,LLANTA 245-70-19.5 EUDEMON UF195 LINEAL,20,"$3,160.00",
HIFL245701950002,LLANTA 245-70-19.5 HIFLY TIRES HH111 LINEAL 16PR 135/133M,11,"$1,900.00",
JKTY24570195012,LLANTA 245-70-19.5 JK JETSTEEL JDL3 TRACCION 16PR,8,"$3,500.00",
JKTR24570195004,LLANTA 245-70-19.5 JK JUL4 LINEAL 16PR TL,13,"$3,600.00",
PIRE245701950002,LLANTA 245-70-19.5 PIRELLI FR01 136/134MM+S,1,"$5,700.00",
PIRE24570195011,LLANTA 245-70-19.5 PIRELLI R02PFS TL 136/134M,8,"$5,350.00",
SAILU245701950002,LLANTA 245-70-19.5 SAILUN 637 14PR,15,"$2,450.00",
OVAT25540190010,LLANTA 255-40-19 OVATION VI-388 100W XL,6,"$1,650.00",
ECOV25550190013,LLANTA 255-50-19 ECOVISION VI-386HP 107V,10,"$1,820.00",
ECOV25555190010,LLANTA 255-55-19 ECOVISION VI-386HP 111V XL,15,"$1,900.00",
OVAT27535190026,LLANTA 275-35-19 OVATION VI-388 100W XL,4,"$1,920.00",
1100-20TOR,LLANTA 1100-20 TORNEL T2400 14C,1,"$5,250.00",
OVAT22535200050,LLANTA 225-35-20 OVATION VI-388 90W,6,"$1,580.00",
WIND22535200010,LLANTA 225-35-20 WINDA WH19 90W,5,"$1,450.00",
KUMH23555200013,LLANTA 235-55-20 KUMHO HP71,2,"$2,700.00",
ECOV24545200010,LLANTA 245-45-20 ECOVISION VI-386 HP 99Y,17,"$1,700.00",
GOOD24545200012,LLANTA 245-45-20 GOODYEAR EAGLE RSA,9,"$3,350.00",
GOOD24545200026,LLANTA 245-45-20 GOODYEAR EAGLE TOURING 99V,2,"$3,960.00",
GOOD24550200015,LLANTA 245-50-20 GOODYEAR EAGLE RSA 102H,3,"$2,750.00",
GOOD25545200026,LLANTA 255-45-20 GOODYEAR EAGLE SPORT A/S 101W,3,"$2,800.00",
ECOV25550200010,LLANTA 255-50-20 ECOVISION VI-386 HP 109V,7,"$1,880.00",
GOOD25555200015,LLANTA 255-55-20 GOODYEAR ASSURANCE MAXLIFE 107H,4,"$3,400.00",
ECOV2655020008,LLANTA 265-50-20 ECOVISION VI-386 HP 111V XL,10,"$2,000.00",
265-50-20GOOD,LLANTA 265-50-20 GOODYEAR FORTERA 107T,2,"$3,450.00",
KUMH26550200013,LLANTA 265-50-20 KUMHO HP71,5,"$3,050.00",
ECOV27540200010,LLANTA 275-40-20 ECOVISION VI-386HP 106W XL,12,"$1,920.00",
ECOV27545200080,LLANTA 275-45-20 ECOVISION VI-386 HP 110V,8,"$2,000.00",
KUMH27545200012,LLANTA 275-45-20 KUMHO HP71,25,"$3,650.00",
ECOV27555200070,LLANTA 275-55-20 ECOVISION VI-386HP 117V XL,19,"$2,280.00",
ECOV27555200013,LLANTA 275-55-20 ECOVISION VI-686 113H,10,"$3,150.00",
GOOD27555200010,LLANTA 275-55-20 GOODYEAR EAGLE LS2,6,"$3,400.00",
JKTY27555200026,LLANTA 275-55-20 JK ELANZO TOURING 113H,8,"$2,300.00",
WIND27555200010,LLANTA 275-55-20 WINDA 117V XL WV11,9,"$2,080.00",
GOOD27560200010,LLANTA 275-60-20 GOODYEAR WRANGLER SRA,7,"$3,150.00",
JKTY27560200026,LLANTA 275-60-20 JK ELANZO TOURING 115H,7,"$2,200.00",
GOOD30555200010,LLANTA 305-55-20 GOODYEAR WRL DURATRAC 121/118Q,4,"$4,700.00",
ECOV3300125020001,LLANTA 33X12.50-20 ECOVISION VI-186MT LT 114Q 10PR,15,"$3,360.00",
33X12.50-20HAI,LLANTA 33X12.50-20 HAIDA HD878 LT-10 114Q MT,46,"$2,600.00",
KUMH33125200015,LLANTA 33X12.50-20 KUMHO AT52,12,"$4,580.00",
NERE331250200089,LLANTA 33X12.50-20 NEREUS NS523 114Q 10PR MT LT,1,"$3,150.00",
ECOV3500125003,LLANTA 35X12.50-20 ECOVISION VI-186 MT 121Q 10PR LT,20,"$3,800.00",
NERE351250200093,LLANTA 35X12.50-20 NEREUS NS523 121Q 10PR MT LT,6,"$3,250.00",
WANL24535210015,LLANTA 245-35-21 WANLI SU025 96W XL,5,"$2,150.00",
OVAT29535210001,LLANTA 295-35-21 OVATION VI-388 107W,3,"$2,400.00",
1100-22TORN,LLANTA 1100-22 TORNEL T2400 14C,15,"$5,600.00",
1100-2216C,LLANTA 1100-22 TORNEL T2400 16C,3,"$5,850.00",
EUDE25570225012,LLANTA 255-70-22.5 EUDEMON UT129,28,"$3,650.00",
GOOD25570222209,LLANTA 255-70-22.5 GOODRIDE CR976A,20,"$3,150.00",
HIFL25570225010,LLANTA 255-70-22.5 HIFLY TIRES HH111 LINEAL 16PR 140/137 L,7,"$2,500.00",
SAIL255702250637,LLANTA 255-70-22.5 SAILUN S637 LINEAL 16PR,8,"$3,150.00",
255-70-22.5JET,LLANTA 255-70-22.5 TORNEL JK JETWAY JTH1,8,"$4,600.00",
GOOD27540220013,LLANTA 275-40-22 GOODYEAR EAGLE TOURING 107W,1,"$3,950.00",
GOOD27550220026,LLANTA 275-50-22 GOODYEAR WRL STEADFAST HT 115H,4,"$3,350.00",
SAIL27570225026,LLANTA 275-70-22.5 SAILUN S637 18PR 148/145M,3,"$3,600.00",
EUDE27580220012,LLANTA 275-80-22.5 EUDEMON UD188,12,"$4,250.00",
EUDE27580221100,LLANTA 275-80-22.5 EUDEMON UF195,10,"$4,600.00",
PIRE27580225023,LLANTA 275-80-22.5 PIRELLI R02PYS TL 149/146M,1,"$9,000.00",
ECOV30540220010,LLANTA 305-40-22 ECOVISION VI-386 HP 114W,11,"$2,400.00",
MAZZ33125220026,LLANTA 33X12.50-22 MAZZINI RUGGER CONTENDER 109Q LT,38,"$2,750.00",
33X12.50-22SUN,LLANTA 33X12.50-22 SUNNY SN105 109Q MT,7,"$3,750.00",
NERE351250220094,LLANTA 35X12.50-22 NEREUS MT NS523 117Q,2,"$3,100.00",
CONT11000225011,LLANTA 11-R 22.5 CONTINENTAL HDL 2,2,"$8,600.00",
EUDE11000225013,LLANTA 11-R 22.5 EUDEMON MIXTA UA922 16PR,8,"$4,550.00",
EUDE11000225016,LLANTA 11-R 22.5 EUDEMON TRACCION UD197 16PR,28,"$4,950.00",
EUDE11000225028,LLANTA 11-R 22.5 EUDEMON UF195 LINEAL 18PR,13,"$4,700.00",
11-R22.5GRD,LLANTA 11-R 22.5 GENERAL RD 146/143 L 16C,8,"$7,300.00",
GOLD11000225028,LLANTA 11-R 22.5 GOLDEN CROWN AD185 TRACCION 18PR 149/146L,68,"$3,450.00",
GOLD11000225026,LLANTA 11-R 22.5 GOLDEN CROWN AS180 LINEAL 149/146L 18PR,94,"$3,350.00",
GOLD11002250001,LLANTA 11-R 22.5 GOLDEN CROWN LINEAL 16PR AS180,35,"$3,050.00",
GOLD11002250002,LLANTA 11-R 22.5 GOLDEN CROWN TRACCION 16PR AD185,1,"$3,200.00",
GOSH11000225013,LLANTA 11-R 22.5 GOLDSHIELD HD609 LINEAL 146/143M TL 16PR,29,"$2,800.00",
GOSH11000225012,LLANTA 11-R 22.5 GOLDSHIELD HD909 TRACCION CLOSED SHOULDER 146/143K 16PR,10,"$3,300.00",
GOOD1100225004,LLANTA 11-R 22.5 GOODRIDE CB972 MINERA,21,"$4,300.00",
GOOD1100225005,LLANTA 11-R 22.5 GOODRIDE CM983 16PR TRACCION,97,"$3,650.00",
GOOD11002250003,LLANTA 11-R 22.5 GOODRIDE CR926 16PR MIXTA,10,"$3,500.00",
GOOD11002250001,LLANTA 11-R 22.5 GOODRIDE CR989 16PR LINEAL,44,"$3,450.00",
GUTE11000225026,LLANTA 11-R 22.5 GUTE ROAD GRD200 TRACCION 149/146L 18C,6,"$3,000.00",
HIFL11000225010,LLANTA 11-R 22.5 HIFLY HH111 18PR LINEAL,17,"$2,600.00",
HIFL11000225030,LLANTA 11-R 22.5 HIFLY HH301 18PR 149/146L MIXTA,56,"$3,000.00",
HIFL11000225020,LLANTA 11-R 22.5 HIFLY HH312 146/143L 18PR TRACCION,1,"$2,900.00",
HIFL11000225040,LLANTA 11-R 22.5 HIFLY TIRES HH317 MINERA 148/145C 16PR,16,"$3,150.00",
NERE110002250026,LLANTA 11-R 22.5 NEREUS NDL708 TRACCION 146/143L 16PR,6,"$3,400.00",
NERE11000225024,LLANTA 11-R 22.5 NEREUS NSL706 LINEAL 146/143M 16PR,12,"$3,250.00",
PIRE11002450010,LLANTA 11-R 22.5 PIRELLI R89 ECOIMPACT LINEAL 146/143 L 16C,16,"$8,600.00",
PIRE110002250010,LLANTA 11-R 22.5 PIRELLI R89CSD TRACCION 146/143L M+S,16,"$9,100.00",
PIRE110002250012,LLANTA 11-R 22.5 PIRELLI TG85 MINERA 148/145K,8,"$7,550.00",
11-R 22.5PIR,LLANTA 11-R 22.5 PIRELLI T-H89 LINEAL ARRASTRE 144/142MFRT M+S(*),8,"$8,200.00",
TORN110002250010,LLANTA 11-R 22.5 TORNEL JETSTEEL JDC JK 16C TL MINERA,8,"$5,850.00",
11-R 22.5TO,LLANTA 11-R 22.5 TORNEL JETWAY JUX 16C TL URBANA,1,"$4,850.00",
TRUE110002250011,LLANTA 11-R 22.5 TRUEFAST TD528 TRACCION 18PR,100,"$3,300.00",
TRUE110002250010,LLANTA 11-R 22.5 TRUEFAST TF128 LINEAL 18PR,100,"$2,960.00",
TURP11002250010,LLANTA 11-R 22.5 TURNPIKE D691+ 16C 146/143L TRACCION,3,"$3,200.00",
EUDE29575225013,LLANTA 295-75-22.5 EUDEMON DIRECCION UF195 16PR,24,"$4,500.00",
EUDE295752250012,LLANTA 295-75-22.5 EUDEMON TRACCION UD197 16PR,40,"$4,850.00",
GOOD29575225025,LLANTA 295-75-22.5 GOODRIDE CM983 TRACCION 144/141L 14PR TL,26,"$3,650.00",
GOOD29575225013,LLANTA 295-75-22.5 GOODRIDE CR989 LINEAL 144/141L TL 14CP,30,"$3,500.00",
HIFL29575225010,LLANTA 295-75-22.5 HIFLY LINEAL HH111 16PR,11,"$2,900.00",
HIFL29575225020,LLANTA 295-75-22.5 HIFLY TRACCION HH312 16PR,58,"$3,200.00",
EUDE29580225014,LLANTA 295-80-22.5 EUDEMON DIRECCION UF195 18CP,8,"$4,950.00",
PIRE29580225026,LLANTA 295-80-22.5 PIRELLI R02PYS 154/149M TL,4,"$9,050.00",
EUDE31580225013,LLANTA 315-80-22.5 EUDEMON UF195 DIRECCION 20PR,8,"$5,300.00",
PIRE31580225014,LLANTA 315-80-22.5 PIRELLI R89 158/156M TL,2,"$9,250.00",
TRIA31580225010,LLANTA 315-80-22.5 TRIANGLE TR 668 MIXTA 20PR,38,"$4,900.00",
385-65-22.5SA,LLANTA 385-65-22.5 SAILUN S825,3,"$6,000.00",
SAIL42565225010,LLANTA 425-65-22.5 SAILUN S825 20 165K,10,"$7,000.00",
GOOD1240024010,LLANTA 12.4-24 GOODYEAR SUPREME TFC 10 R-1 TL,4,"$6,750.00",
TORN12400240010,LLANTA 12.4-24 JK FIELD KING R1 8C S/C,2,"$4,200.00",
TITA12400240010,LLANTA 12.4-24 TITAN HI-TRAC LUG R1 8PR,4,"$5,050.00",
SOLI12400240010,LLANTA 12-4-24 SOLIDWAY 12PR TT R1 (TIRE ONLY),4,"$3,100.00",
GOOD1360024010,LLANTA 13.6-24 GOODYEAR DYNA TORQUE II 8 R-1 TL,2,"$8,900.00",
SOLI13000240010,LLANTA 13-00-24 SOLIDWAY G2/L2 TL (16),2,"$5,860.00",
14-00-24GMX,LLANTA 14-00-24 GMX 16PR L2/G2 TL,3,"$7,000.00",
14-00-24JK,LLANTA 14-00-24 JKTYRE 16PR EG-04,8,"$7,700.00",
SOLI14000240010,LLANTA 14-00-24 SOLIDWAY ST518 TL 16PR G2/L2,10,"$7,100.00",
TITA14000240015,LLANTA 14-00-24 TITAN TRT 12PR TL,2,"$12,100.00",
GMXX14900240010,LLANTA 14-9-24 GMX 10PR R-1 TT,1,"$4,200.00",
16-9-24GOOD,LLANTA 16-9-24 GOODYEAR INDUSTRIAL SURE GRIP 8 R-4 TT,2,"$14,650.00",
JKTY16009240026,LLANTA 16-9-24 JK VBH PLUS TL 12PR S/C,4,"$8,600.00",
GOOD19500240001,LLANTA 19.5-L 24 GOODYEAR IT525 12 R-4 TL,10,"$14,600.00",
JKTR19500240012,LLANTA 19.5-L 24 JK VBH PLUS II 12PR TL,1,"$9,450.00",
TORN195L240002,LLANTA 19.5-L 24 JKTYRE INDUSTRIAL KING 12CP S/C,11,"$8,800.00",
ROCK195L240002,LLANTA 19.5-L 24 ROCKBUSTER H658 12C R-4,3,"$9,800.00",
SOLI19500240010,LLANTA 19.5-L 24 SOLIDWAY 12PR TL R4 ST517 SEVERER,5,"$7,700.00",
SOLI19500240030,LLANTA 19.5-L 24 SOLIDWAY 14PR TL R4 ST515,9,"$7,800.00",
CERE11000245010,LLANTA 11-R 24.5 CEREX CX22 TRACCION 18C 149/146M,15,"$3,500.00",
CONT110002450010,LLANTA 11-R 24.5 CONTINENTAL HDL 2 16C,80,"$9,200.00",
CONTI11002450079,LLANTA 11-R 24.5 CONTINENTAL HSR2 16C,16,"$8,800.00",
DURA110002450010,LLANTA 11-R 24.5 DURATION FM-81 MINERA 146/143J,13,"$3,600.00",
EUDE11000245015,LLANTA 11-R 24.5 EUDEMON MIXTA UA922 16PR,28,"$4,900.00",
EUDE11000245012,LLANTA 11-R 24.5 EUDEMON TRACCION UD197 16CP,37,"$5,200.00",
11-R 24.5GEN,LLANTA 11-R 24.5 GENERAL HD2 TRACCION 16C 149/146 L,1,"$7,500.00",
GOLD11000245028,LLANTA 11-R 24.5 GOLDEN CROWN AD185 TRACCION 152/149L 18PR,30,"$3,800.00",
GOLD11000245026,LLANTA 11-R 24.5 GOLDEN CROWN AS180 LINEAL 152/149L 18PR,22,"$3,650.00",
GOLD11002450003,LLANTA 11-R 24.5 GOLDEN CROWN LINEAL 16PR AS180,39,"$3,300.00",
GOLD11002450001,LLANTA 11-R 24.5 GOLDEN CROWN TRACCION 16PR AD185,39,"$3,500.00",
GOSH11000245012,LLANTA 11-R 24.5 GOLDSHIELD HD909 TRACCION CLOSED SHOULDER  149/146K TL 16PR,6,"$3,350.00",
GOOD11002450002,LLANTA 11-R 24.5 GOODRIDE CB972  MINERA,55,"$4,700.00",
GOOD11002450001,LLANTA 11-R 24.5 GOODRIDE CM983 16PR TRACCION,80,"$3,950.00",
GOOD1100245004,LLANTA 11-R 24.5 GOODRIDE CR926D 16PR MIXTA,14,"$3,900.00",
GOOD1100245002,LLANTA 11-R 24.5 GOODRIDE CR989 16PR LINEAL,92,"$3,750.00",
HIFL11000245020,LLANTA 11-R 24.5 HIFLY HH312 149/146L 18PR TRACCION,15,"$3,160.00",
HIFL11000245012,LLANTA 11-R 24.5 HIFLY HH826 MINERA 149/146K 18PR,32,"$3,850.00",
HIFL11000245030,LLANTA 11-R 24.5 HIFLY TIRES MIXTA HH301 149/146 L,17,"$3,100.00",
NERE110002450024,LLANTA 11-R 24.5 NEREUS NDL708 TRACCION 149/146L 16PR,4,"$3,650.00",
NERE110002450025,LLANTA 11-R 24.5 NEREUS NSL706 LINEAL 149/146M 16PR,6,"$3,450.00",
PIRE110002450011,LLANTA 11-R 24.5 PIRELLI FR85 LINEAL,5,"$9,100.00",
11-R24.5PIREL,LLANTA 11-R 24.5 PIRELLI LINEAL T-H89   ARRASTRE 149/146MFRT M+S TL,3,"$8,900.00",
PIRE11002450060,LLANTA 11-R 24.5 PIRELLI R89 LINEAL 149/146L 16 TL,31,"$9,750.00",
PIRE11002450040,LLANTA 11-R 24.5 PIRELLI R89CSD TRACCION LARGA DISTANCIA 149/146TL 16M+S,13,"$10,000.00",
ROAD11000245012,LLANTA 11-R 24.5 ROADTRACK PC-01 MIXTA 149/146M 16PR,20,"$3,500.00",
ROAD11000245010,LLANTA 11-R 24.5 ROADTRACK PC-26 MINERA 149/146J,14,"$3,850.00",
ROYA11000245010,LLANTA 11-R 24.5 ROYALBLACK DIRECCION RS201 149/146M,49,"$3,250.00",
TORN110002450011,LLANTA 11-R 24.5 TORNEL JETSTEEL JDH JK TRACCION REGIONAL 16PR,26,"$5,860.00",
TORN110002450012,LLANTA 11-R 24.5 TORNEL JETSTEEL JDL2 JK TRACCION 16C LARGA DISTANCIA,18,"$6,200.00",
TRUE11002450011,LLANTA 11-R 24.5 TRUEFAST TD528 TRACCION 18PR,94,"$3,500.00",
TRUE110002450010,LLANTA 11-R 24.5 TRUEFAST TF128 LINEAL 18PR,100,"$3,300.00",
EUDE28575245014,LLANTA 285-75-24.5 EUDEMON UD131,26,"$4,950.00",
EUDE28575245012,LLANTA 285-75-24.5 EUDEMON UT129 LINEAL,24,"$4,600.00",
HIFL28575245010,LLANTA 285-75-24.5 HIFLY HH111 LINEAL 147/144L 16PR,8,"$3,150.00",
HIFL28575245020,LLANTA 285-75-24.5 HIFLY HH312 TRACCION 147/144L 16PR,44,"$3,350.00",
SAIL285752450005,LLANTA 285-75-24.5 SAILUN 16PR LINEAL S605 EFT,4,"$3,600.00",
SAIL285752450004,LLANTA 285-75-24.5 SAILUN S768 14PR TRACCION,12,"$3,800.00",
CONTI30575245013,LLANTA 305-75-24.5 CONTINENTAL HSU LINEAL,9,"$9,500.00",
PIRE30575245010,LLANTA 305-75-24.5 PIRELLI FH75  LINEAL TL 154/149M(*),3,"$9,700.00",
PIRE30575245011,LLANTA 305-75-24.5 PIRELLI TH75 TRACCION TL 154/149LM+S(*),10,"$10,800.00",
SOLI17500250010,LLANTA 17.5-25 SOLIDWAY E3/L3 ST312 16PR,1,"$9,500.00",
JKTY17500250025,LLANTA 17.5-25 TORNEL INDUSTRIAL PLUS 20C TL,2,"$13,250.00",
PIRE14900240012,LLANTA 14-9-24 PIRELLI TM95 8R-1 TL S/C,2,"$8,000.00",
14-9-28GOOD,LLANTA 14-9-28 GOODYEAR DYNA TORQUE II 6 R-1 TT,2,"$9,200.00",
GOOD14900280010,LLANTA 14-9-28 GOODYEAR SUPREME TFC 8 R-1 TT,2,"$9,950.00",
14-9-28TOR,LLANTA 14-9-28 JK TRAS FIELD KING R1 12PR,4,"$8,000.00",
16-9-30GDT,LLANTA 16-9-30 GOODYEAR DYNA TORQUE II12 R-1 TL,1,"$14,600.00",
GOOD18400300010,LLANTA 18-4-30 GOODYEAR SUPREME TFC 8 R-1,4,"$14,350.00",
18-4-30TOR T,LLANTA 18-4-30 JK TIRE TRAS FIELD KINGX JK R1 8 CAPAS C/C,6,"$9,700.00",
JKTY18004300010,LLANTA 18-4-30 JK TYRE FIELD KING R1 C/C 12C,4,"$8,600.00",
18-4-30ROC,LLANTA 18-4-30 ROCKBUSTER H657-6 R-1 12C,2,"$8,500.00",
SOLID184340018,LLANTA 18-4-30 SOLIDWAY (TIRE ONLY) 12PR R1-2 TT,2,"$6,850.00",
SOLID18400300012,LLANTA 18-4-30 SOLIDWAY 12PR R1W  BARRA 1/2,2,"$9,900.00",
GOOD18400340010,LLANTA 18-4-34 GOODYEAR SUPREME TFC 10 R-1 TT,3,"$16,400.00",
18-4-34TOR,LLANTA 18-4-34 JK FIELD KING 8CP S/C,4,"$10,000.00",
JKTO18400340010,LLANTA 18-4-34 JK FIELD KING X R1 12PR C/C,2,"$10,700.00",
18-4-34JK,LLANTA 18-4-34 JK FIELD KING XR1 8C C/C,4,"$10,200.00",
18-4-34ROC,LLANTA 18-4-34 ROCKBUSTER H657-6 R-1 12C,1,"$9,200.00",
SOLID184340011,LLANTA 18-4-34 SOLIDWAY 12PR R1W  BARRA 1/2,2,"$9,200.00",
15-5-38EPS,LLANTA 15-5-38 EPSILON R-1 TL 12PR,1,"$5,200.00",
GOOD15500380010,LLANTA 15-5-38 GOODYEAR DYNA TORQUE III 8 R-1 TT,1,"$11,600.00",
15-5-38KING,LLANTA 15-5-38 JK FIELD KING RI 10CP C/C,1,"$6,700.00",
FIEL15500380014,LLANTA 15-5-38 JK FIELD X R1  8C  S/C,4,"$7,300.00",
15-5-38TORN,LLANTA 15-5-38 TORNEL TRAS FIELD KING R1 8C,5,"$7,700.00",
18-4-38TOR,LLANTA 18-4-38 FIELD KING JK R1 (8),2,"$10,600.00",
GOOD18040380010,LLANTA 18-4-38 GOODYEAR SUPREME TFC A6 R-1 TT,2,"$17,600.00",
TITA18400380013,LLANTA 18-4-38 TITAN HI-TRAC LUG R1 8PR,2,"$16,400.00",